Model,Performance,Price,RAM,Storage,Slots,Category
0,7,1172,4,256,0,High
1,4,1596,8,1024,1,Low
2,8,361,8,128,0,High
3,5,895,8,256,1,Low
4,7,1028,32,256,1,High
5,10,1665,16,128,0,High
6,3,696,32,128,1,Low
7,7,998,4,128,1,High
8,8,1342,32,256,2,High
9,5,476,4,256,1,Low
10,4,1935,32,1024,1,Low
11,8,695,16,512,1,High
12,8,744,4,128,2,High
13,3,1556,8,256,0,Low
14,6,375,8,256,2,Low
15,5,564,32,128,2,Low
16,2,754,8,512,0,Low
17,8,1017,4,128,2,High
18,6,1034,8,512,0,Low
19,2,1707,16,256,2,Low
20,5,1887,16,512,0,Low
21,1,1150,32,1024,1,Low
22,10,1829,4,256,2,High
23,6,1690,16,1024,2,Low
24,9,443,16,128,2,High
25,1,1184,4,128,2,Low
26,10,1392,8,128,1,High
27,3,1422,8,512,2,Low
28,7,695,32,256,1,High
29,4,1348,8,128,1,Low
30,9,1247,4,128,1,High
31,3,1190,16,256,1,Low
32,5,1792,8,128,0,Low
33,3,1807,32,1024,0,Low
34,7,1888,8,256,2,High
35,5,1474,4,256,0,Low
36,9,1467,32,256,0,High
37,7,868,8,1024,2,High
38,2,1362,32,256,2,Low
39,4,408,4,1024,2,Low
40,9,1365,16,256,0,High
41,2,1509,4,512,0,Low
42,10,1234,4,128,2,High
43,9,697,4,512,1,High
44,10,1546,4,128,2,High
45,5,933,16,1024,1,Low
46,2,1456,16,512,1,Low
47,4,1486,32,256,2,Low
48,7,1538,8,128,2,High
49,8,1032,16,128,2,High
50,3,534,16,512,0,Low
51,1,957,8,1024,1,Low
52,4,1050,16,512,0,Low
53,2,887,4,1024,0,Low
54,8,1332,4,1024,2,High
55,4,1397,8,128,0,Low
56,2,1253,32,512,2,Low
57,6,791,32,512,1,Low
58,6,1212,8,1024,2,Low
59,10,1576,8,512,0,High
60,4,1553,4,256,0,Low
61,6,1842,32,256,2,Low
62,2,1497,16,512,2,Low
63,10,1976,4,512,0,High
64,2,1491,8,1024,1,Low
65,10,469,32,256,1,High
66,4,1716,16,256,2,Low
67,8,1245,16,128,1,High
68,7,1094,4,1024,0,High
69,9,933,32,128,2,High
70,8,1517,32,256,0,High
71,5,1840,8,1024,0,Low
72,2,328,32,512,1,Low
73,5,1488,32,1024,2,Low
74,8,1745,4,512,2,High
75,10,638,32,512,1,High
76,9,1971,16,1024,0,High
77,9,1819,4,512,0,High
78,1,1688,4,128,0,Low
79,9,1665,8,256,0,High
80,7,799,32,512,2,High
81,9,1980,8,128,2,High
82,8,810,16,512,1,High
83,1,1650,4,256,1,Low
84,8,516,4,128,2,High
85,8,1624,4,256,2,High
86,3,1455,16,256,0,Low
87,1,1393,16,128,0,Low
88,8,1575,8,128,1,High
89,3,1738,8,128,2,Low
90,3,744,8,1024,1,Low
91,1,1175,32,128,2,Low
92,5,1505,4,128,0,Low
93,10,466,4,128,1,High
94,7,390,8,128,1,High
95,10,1013,4,512,2,High
96,9,1854,8,1024,0,High
97,7,338,32,256,1,High
98,9,1449,32,128,0,High
99,8,1774,16,512,1,High
100,2,472,32,512,0,Low
101,1,952,8,512,2,Low
102,7,1053,32,256,1,High
103,7,1543,16,128,1,High
104,8,1961,4,1024,0,High
105,5,1381,8,1024,0,Low
106,3,1983,4,512,1,Low
107,8,775,16,256,2,High
108,6,755,16,256,0,Low
109,3,1128,16,256,0,Low
110,1,1194,4,1024,0,Low
111,3,1684,4,512,1,Low
112,5,1324,4,128,1,Low
113,3,686,4,1024,1,Low
114,1,647,16,512,1,Low
115,5,489,16,512,2,Low
116,10,804,8,128,2,High
117,7,1514,8,128,1,High
118,7,1831,4,128,2,High
119,9,1692,32,256,0,High
120,10,1732,32,128,0,High
121,10,1123,16,512,0,High
122,3,1228,16,128,1,Low
123,7,1233,16,512,0,High
124,1,1440,8,1024,2,Low
125,4,433,8,256,1,Low
126,4,357,16,1024,2,Low
127,5,1879,16,1024,0,Low
128,7,984,16,512,0,High
129,7,971,32,1024,0,High
130,4,472,8,512,1,Low
131,7,1114,32,128,2,High
132,3,1472,32,128,1,Low
133,6,379,16,512,1,Low
134,2,1185,16,128,0,Low
135,10,1536,4,256,1,High
